ts,login,ip,action,object,result,auth_method,session_id,detail
2026-08-01 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-02 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-03 05:38:07,m.zueva,77.88.21.141,login,panel,ok,password+mfa,s01003,
03.08.2026 05:41:07,m.zueva,77.88.21.141,view_client,ord-98185,ok,session,s01003,
2026-08-03 05:47:07,m.zueva,77.88.21.141,view_order,ord-17354,ok,session,s01003,
2026-08-03 05:47:07,m.zueva,77.88.21.141,search_client,ord-56011,ok,session,s01003,
2026-08-03 05:52:07,m.zueva,77.88.21.141,update_order,ord-74610,ok,session,s01003,
2026-08-03 05:56:07,m.zueva,77.88.21.141,search_client,ord-33754,ok,session,s01003,
2026-08-03 06:15:54,a.sokolov,109.252.44.19,login,panel,ok,password+mfa,s01004,
2026-08-03 06:21:54,a.sokolov,109.252.44.19,add_note,ord-40938,ok,session,s01004,
03.08.2026 06:25:07,d.kravets,77.88.21.140,login,panel,ok,password+mfa,s01001,
2026-08-03 06:25:54,a.sokolov,109.252.44.19,add_note,ord-19530,ok,session,s01004,
2026-08-03 06:28:54,a.sokolov,109.252.44.19,update_order,ord-88574,ok,session,s01004,
2026-08-03 06:30:07,d.kravets,77.88.21.140,update_order,ord-23933,ok,session,s01001,
2026-08-03 06:34:07,d.kravets,77.88.21.140,search_client,ord-42212,ok,session,s01001,
2026-08-03 06:36:07,d.kravets,77.88.21.140,update_order,ord-64500,ok,session,s01001,
2026-08-03 06:41:07,d.kravets,77.88.21.140,add_note,ord-96207,ok,session,s01001,
03.08.2026 06:41:07,d.kravets,77.88.21.140,view_order,ord-19301,ok,session,s01001,
2026-08-03 06:49:54,s.raifa,10.8.14.21,login,panel,ok,password+mfa,s01002,
2026-08-03 06:55:54,s.raifa,10.8.14.21,add_note,ord-96788,ok,session,s01002,
2026-08-03 06:58:54,s.raifa,10.8.14.21,add_note,ord-97015,ok,session,s01002,
2026-08-03 06:59:54,s.raifa,10.8.14.21,add_note,ord-82868,ok,session,s01002,
2026-08-03 07:04:54,s.raifa,10.8.14.21,update_order,ord-22797,ok,session,s01002,
2026-08-03 07:04:54,s.raifa,10.8.14.21,update_order,ord-61009,ok,session,s01002,
03.08.2026 07:07:54,s.raifa,10.8.14.21,view_client,ord-49971,ok,session,s01002,
2026-08-03 07:10:54,s.raifa,10.8.14.21,add_note,ord-47571,ok,session,s01002,
2026-08-03 07:20:07,m.zueva,77.88.21.141,logout,panel,ok,session,s01003,
2026-08-03 08:18:54,a.sokolov,109.252.44.19,logout,panel,ok,session,s01004,
2026-08-03 08:28:54,s.raifa,10.8.14.21,logout,panel,ok,session,s01002,
2026-08-03 08:33:07,d.kravets,77.88.21.140,logout,panel,ok,session,s01001,
2026-08-03 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
04.08.2026 05:16:10,i.bortnik,10.8.14.22,login,panel,ok,password+mfa,s01005,
2026-08-04 05:19:10,i.bortnik,10.8.14.22,search_client,ord-31690,ok,session,s01005,
2026-08-04 05:25:10,i.bortnik,10.8.14.22,view_order,ord-34201,ok,session,s01005,
2026-08-04 05:59:20,a.sokolov,10.8.14.23,login,panel,ok,password+mfa,s01009,
2026-08-04 06:06:20,a.sokolov,10.8.14.23,view_order,ord-72794,ok,session,s01009,
2026-08-04 06:07:20,a.sokolov,10.8.14.23,view_client,ord-86882,ok,session,s01009,
2026-08-04 06:12:20,a.sokolov,10.8.14.23,view_order,ord-11169,ok,session,s01009,
04.08.2026 06:12:20,a.sokolov,10.8.14.23,update_order,ord-45717,ok,session,s01009,
2026-08-04 06:14:20,a.sokolov,10.8.14.23,add_note,ord-10740,ok,session,s01009,
2026-08-04 06:15:10,i.bortnik,10.8.14.22,logout,panel,ok,session,s01005,
2026-08-04 06:29:17,m.zueva,77.88.21.141,login,panel,ok,password+mfa,s01007,
2026-08-04 06:33:17,m.zueva,77.88.21.141,view_order,ord-36110,ok,session,s01007,
2026-08-04 06:38:17,m.zueva,77.88.21.141,add_note,ord-84473,ok,session,s01007,
2026-08-04 06:58:09,p.kotov,10.8.14.23,login,panel,ok,password+mfa,s01008,
04.08.2026 06:59:25,s.raifa,10.8.31.7,login,panel,ok,password+mfa,s01006,
2026-08-04 07:04:25,s.raifa,10.8.31.7,add_note,ord-54484,ok,session,s01006,
2026-08-04 07:05:09,p.kotov,10.8.14.23,add_note,ord-91087,ok,session,s01008,
2026-08-04 07:05:25,s.raifa,10.8.31.7,view_order,ord-49753,ok,session,s01006,
2026-08-04 07:08:09,p.kotov,10.8.14.23,update_order,ord-76899,ok,session,s01008,
2026-08-04 07:08:25,s.raifa,10.8.31.7,view_client,ord-96492,ok,session,s01006,
2026-08-04 07:09:09,p.kotov,10.8.14.23,view_order,ord-79961,ok,session,s01008,
04.08.2026 07:38:20,a.sokolov,10.8.14.23,logout,panel,ok,session,s01009,
2026-08-04 07:40:09,p.kotov,10.8.14.23,logout,panel,ok,session,s01008,
2026-08-04 07:57:17,m.zueva,77.88.21.141,logout,panel,ok,session,s01007,
2026-08-04 08:53:25,s.raifa,10.8.31.7,logout,panel,ok,session,s01006,
2026-08-04 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-05 05:26:25,m.zueva,10.8.31.7,login,panel,ok,password+mfa,s01012,
2026-08-05 05:30:25,m.zueva,10.8.31.7,view_order,ord-65609,ok,session,s01012,
05.08.2026 05:32:25,m.zueva,10.8.31.7,view_client,ord-90570,ok,session,s01012,
2026-08-05 05:37:25,m.zueva,10.8.31.7,view_order,ord-57090,ok,session,s01012,
2026-08-05 05:50:46,s.raifa,10.8.44.5,login,panel,ok,password+mfa,s01011,
2026-08-05 05:54:46,s.raifa,10.8.44.5,view_order,ord-61076,ok,session,s01011,
2026-08-05 05:58:46,s.raifa,10.8.44.5,add_note,ord-97603,ok,session,s01011,
2026-08-05 06:02:46,s.raifa,10.8.44.5,update_order,ord-59360,ok,session,s01011,
2026-08-05 06:06:46,s.raifa,10.8.44.5,add_note,ord-88070,ok,session,s01011,
05.08.2026 06:09:46,s.raifa,10.8.44.5,update_order,ord-98281,ok,session,s01011,
2026-08-05 06:24:35,a.sokolov,109.252.44.19,login,panel,ok,password+mfa,s01013,
2026-08-05 06:29:35,a.sokolov,109.252.44.19,add_note,ord-38592,ok,session,s01013,
2026-08-05 06:33:35,a.sokolov,109.252.44.19,view_client,ord-45711,ok,session,s01013,
2026-08-05 06:34:35,a.sokolov,109.252.44.19,view_client,ord-91828,ok,session,s01013,
2026-08-05 06:40:35,a.sokolov,109.252.44.19,update_order,ord-92693,ok,session,s01013,
2026-08-05 06:41:35,a.sokolov,109.252.44.19,add_note,ord-25533,ok,session,s01013,
05.08.2026 06:56:25,m.zueva,10.8.31.7,logout,panel,ok,session,s01012,
2026-08-05 06:56:54,i.bortnik,10.8.31.7,login,panel,ok,password+mfa,s01010,
2026-08-05 06:58:46,s.raifa,10.8.44.5,logout,panel,ok,session,s01011,
2026-08-05 07:00:54,i.bortnik,10.8.31.7,add_note,ord-89003,ok,session,s01010,
2026-08-05 07:03:54,i.bortnik,10.8.31.7,view_order,ord-54485,ok,session,s01010,
2026-08-05 07:40:35,a.sokolov,109.252.44.19,logout,panel,ok,session,s01013,
2026-08-05 07:54:54,i.bortnik,10.8.31.7,logout,panel,ok,session,s01010,
05.08.2026 08:07:41,p.kotov,10.9.2.10,config_change,panel.auth.paths,ok,password+mfa,s00777,removed /backup/ from auth_required
2026-08-05 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-06 05:04:26,m.zueva,10.8.14.21,login,panel,ok,password+mfa,s01017,
2026-08-06 05:10:26,m.zueva,10.8.14.21,view_order,ord-31687,ok,session,s01017,
2026-08-06 05:11:26,m.zueva,10.8.14.21,add_note,ord-21962,ok,session,s01017,
2026-08-06 05:13:26,m.zueva,10.8.14.21,view_order,ord-53785,ok,session,s01017,
2026-08-06 05:17:26,m.zueva,10.8.14.21,add_note,ord-54269,ok,session,s01017,
06.08.2026 05:21:26,m.zueva,10.8.14.21,update_order,ord-30030,ok,session,s01017,
2026-08-06 05:23:27,p.kotov,10.8.31.7,login,panel,ok,password+mfa,s01018,
2026-08-06 05:27:27,p.kotov,10.8.31.7,update_order,ord-45455,ok,session,s01018,
2026-08-06 05:29:27,p.kotov,10.8.31.7,update_order,ord-91536,ok,session,s01018,
2026-08-06 05:32:27,p.kotov,10.8.31.7,view_client,ord-93353,ok,session,s01018,
2026-08-06 06:05:55,i.bortnik,10.8.31.7,login,panel,ok,password+mfa,s01015,
2026-08-06 06:08:53,s.raifa,10.8.14.23,login,panel,ok,password+mfa,s01016,
06.08.2026 06:08:55,i.bortnik,10.8.31.7,update_order,ord-20964,ok,session,s01015,
2026-08-06 06:11:55,i.bortnik,10.8.31.7,view_client,ord-76530,ok,session,s01015,
2026-08-06 06:12:53,s.raifa,10.8.14.23,search_client,ord-98574,ok,session,s01016,
2026-08-06 06:15:53,s.raifa,10.8.14.23,view_order,ord-87636,ok,session,s01016,
2026-08-06 06:18:55,i.bortnik,10.8.31.7,view_order,ord-98219,ok,session,s01015,
2026-08-06 06:21:53,s.raifa,10.8.14.23,add_note,ord-91750,ok,session,s01016,
2026-08-06 06:24:53,s.raifa,10.8.14.23,search_client,ord-17050,ok,session,s01016,
06.08.2026 06:32:26,m.zueva,10.8.14.21,logout,panel,ok,session,s01017,
2026-08-06 06:39:55,d.kravets,77.88.21.140,login,panel,ok,password+mfa,s01014,
2026-08-06 06:45:55,d.kravets,77.88.21.140,search_client,ord-35075,ok,session,s01014,
2026-08-06 06:46:55,d.kravets,77.88.21.140,update_order,ord-41294,ok,session,s01014,
2026-08-06 06:50:27,p.kotov,10.8.31.7,logout,panel,ok,session,s01018,
2026-08-06 06:51:55,d.kravets,77.88.21.140,view_order,ord-20626,ok,session,s01014,
2026-08-06 06:54:55,d.kravets,77.88.21.140,search_client,ord-63150,ok,session,s01014,
06.08.2026 06:59:18,a.sokolov,10.8.14.21,login,panel,ok,password+mfa,s01019,
2026-08-06 07:02:18,a.sokolov,10.8.14.21,add_note,ord-91880,ok,session,s01019,
2026-08-06 07:05:53,s.raifa,10.8.14.23,logout,panel,ok,session,s01016,
2026-08-06 07:09:18,a.sokolov,10.8.14.21,view_client,ord-36252,ok,session,s01019,
2026-08-06 07:12:18,a.sokolov,10.8.14.21,search_client,ord-13946,ok,session,s01019,
2026-08-06 07:15:18,a.sokolov,10.8.14.21,view_order,ord-88204,ok,session,s01019,
2026-08-06 07:16:18,a.sokolov,10.8.14.21,view_client,ord-63364,ok,session,s01019,
06.08.2026 07:50:55,i.bortnik,10.8.31.7,logout,panel,ok,session,s01015,
2026-08-06 08:19:55,d.kravets,77.88.21.140,logout,panel,ok,session,s01014,
2026-08-06 08:40:18,a.sokolov,10.8.14.21,logout,panel,ok,session,s01019,
2026-08-06 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-07 05:32:03,d.kravets,10.8.14.22,login,panel,ok,password+mfa,s01020,
2026-08-07 05:35:03,d.kravets,10.8.14.22,view_client,ord-49573,ok,session,s01020,
2026-08-07 05:42:03,d.kravets,10.8.14.22,add_note,ord-14041,ok,session,s01020,
07.08.2026 05:45:03,d.kravets,10.8.14.22,view_client,ord-27693,ok,session,s01020,
2026-08-07 05:47:03,d.kravets,10.8.14.22,view_order,ord-43489,ok,session,s01020,
2026-08-07 05:51:03,d.kravets,10.8.14.22,update_order,ord-99798,ok,session,s01020,
2026-08-07 05:56:36,i.bortnik,10.8.14.23,login,panel,ok,password+mfa,s01021,
2026-08-07 06:02:36,i.bortnik,10.8.14.23,view_client,ord-50314,ok,session,s01021,
2026-08-07 06:05:36,i.bortnik,10.8.14.23,search_client,ord-55836,ok,session,s01021,
2026-08-07 06:06:36,i.bortnik,10.8.14.23,view_order,ord-54430,ok,session,s01021,
07.08.2026 06:22:12,a.sokolov,10.8.14.23,login,panel,ok,password+mfa,s01024,
2026-08-07 06:28:12,a.sokolov,10.8.14.23,add_note,ord-87116,ok,session,s01024,
2026-08-07 06:29:12,a.sokolov,10.8.14.23,view_client,ord-25512,ok,session,s01024,
2026-08-07 06:33:30,p.kotov,10.8.14.22,login,panel,ok,password+mfa,s01023,
2026-08-07 06:34:12,a.sokolov,10.8.14.23,add_note,ord-11112,ok,session,s01024,
2026-08-07 06:35:12,a.sokolov,10.8.14.23,add_note,ord-18752,ok,session,s01024,
2026-08-07 06:38:30,p.kotov,10.8.14.22,view_order,ord-43263,ok,session,s01023,
07.08.2026 06:39:12,a.sokolov,10.8.14.23,view_client,ord-16233,ok,session,s01024,
2026-08-07 06:42:30,p.kotov,10.8.14.22,add_note,ord-66552,ok,session,s01023,
2026-08-07 06:42:47,s.raifa,10.8.14.22,login,panel,ok,password+mfa,s01022,
2026-08-07 06:46:30,p.kotov,10.8.14.22,view_order,ord-44296,ok,session,s01023,
2026-08-07 06:46:30,p.kotov,10.8.14.22,update_order,ord-80046,ok,session,s01023,
2026-08-07 06:49:47,s.raifa,10.8.14.22,update_order,ord-30338,ok,session,s01022,
2026-08-07 06:52:47,s.raifa,10.8.14.22,add_note,ord-19031,ok,session,s01022,
07.08.2026 06:56:03,d.kravets,10.8.14.22,logout,panel,ok,session,s01020,
2026-08-07 07:20:36,i.bortnik,10.8.14.23,logout,panel,ok,session,s01021,
2026-08-07 07:38:12,a.sokolov,10.8.14.23,logout,panel,ok,session,s01024,
2026-08-07 08:06:30,p.kotov,10.8.14.22,logout,panel,ok,session,s01023,
2026-08-07 08:10:47,s.raifa,10.8.14.22,logout,panel,ok,session,s01022,
2026-08-07 10:17:00,d.kravets,10.8.31.7,login,panel,fail,password,s01146,wrong_password
2026-08-07 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
08.08.2026 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-09 22:15:00,watcher,10.9.2.10,backup_write,/backup/clients_2026-08.csv,ok,service,svc-backup,
2026-08-10 05:35:07,s.raifa,10.8.31.7,login,panel,ok,password+mfa,s01027,
2026-08-10 05:40:07,s.raifa,10.8.31.7,update_order,ord-51443,ok,session,s01027,
2026-08-10 05:43:07,s.raifa,10.8.31.7,view_client,ord-42021,ok,session,s01027,
2026-08-10 05:57:34,i.bortnik,10.8.31.7,login,panel,ok,password+mfa,s01026,
2026-08-10 06:00:34,i.bortnik,10.8.31.7,view_order,ord-17369,ok,session,s01026,
10.08.2026 06:04:34,i.bortnik,10.8.31.7,update_order,ord-56038,ok,session,s01026,
2026-08-10 06:06:34,i.bortnik,10.8.31.7,view_order,ord-97145,ok,session,s01026,
2026-08-10 06:16:21,a.sokolov,10.8.14.22,login,panel,ok,password+mfa,s01029,
2026-08-10 06:18:20,m.zueva,77.88.21.141,login,panel,ok,password+mfa,s01028,
2026-08-10 06:20:21,a.sokolov,10.8.14.22,view_client,ord-69445,ok,session,s01029,
