ip,city,lat,lon,org
10.8.14.21,Москва,55.7558,37.6173,"офис «Привал», Москва"
10.8.14.22,Москва,55.7558,37.6173,"офис «Привал», Москва"
10.8.14.23,Москва,55.7558,37.6173,"офис «Привал», Москва"
10.8.31.7,Екатеринбург,56.8389,60.6057,"офис «Привал», Екатеринбург"
10.8.44.5,Новосибирск,55.0084,82.9357,"офис «Привал», Новосибирск"
10.9.2.10,Москва,55.7558,37.6173,"серверная «Привал», Москва"
77.88.21.140,Москва,55.7558,37.6173,"домашний провайдер, Москва"
77.88.21.141,Москва,55.7558,37.6173,"домашний провайдер, Москва"
95.108.174.62,Санкт-Петербург,59.9311,30.3609,"домашний провайдер, СПб"
176.59.208.33,Сочи,43.5855,39.7231,"мобильный оператор, Сочи"
109.252.44.19,Москва,55.7558,37.6173,"домашний провайдер, Москва"
185.220.101.45,Москва,55.7558,37.6173,хостинг-провайдер VPS
45.132.19.88,Франкфурт,50.1109,8.6821,хостинг-провайдер VPS
