id,created_at,channel,requester,assignee,subject,body,action_taken,callback_verified
T-4303,2026-08-15 13:21:00,чат,s.raifa,d.kravets,вопрос по возврату,—,консультация,n/a
T-4301,2026-08-15 13:38:00,чат,i.bortnik,d.kravets,не открывается отчёт,—,консультация,n/a
T-4302,2026-08-15 17:01:00,почта,k.efimov,s.raifa,не открывается отчёт,—,консультация,n/a
T-4304,2026-08-16 10:22:00,чат,k.efimov,i.bortnik,нужен доступ к панели,—,консультация,n/a
T-4306,2026-08-16 11:29:00,почта,m.zueva,i.bortnik,ошибка при оплате,—,консультация,n/a
T-4305,2026-08-16 11:37:00,чат,p.kotov,s.raifa,нужен доступ к панели,—,консультация,n/a
T-4307,2026-08-16 13:22:00,телефон,m.zueva,d.kravets,не приходит письмо,—,консультация,n/a
T-4308,2026-08-17 10:54:00,телефон,a.sokolov,d.kravets,вопрос по возврату,—,консультация,n/a
T-4311,2026-08-17 12:43:00,почта,p.kotov,i.bortnik,вопрос по возврату,—,консультация,n/a
T-4309,2026-08-17 16:22:00,телефон,i.bortnik,i.bortnik,вопрос по возврату,—,консультация,n/a
T-4310,2026-08-17 17:10:00,телефон,a.sokolov,s.raifa,не печатается накладная,—,консультация,n/a
T-4316,2026-08-18 11:01:00,почта,k.efimov,i.bortnik,нужен доступ к панели,—,консультация,n/a
T-4313,2026-08-18 11:21:00,почта,d.kravets,s.raifa,ошибка при оплате,—,консультация,n/a
T-4314,2026-08-18 13:12:00,чат,a.sokolov,s.raifa,ошибка при оплате,—,консультация,n/a
T-4315,2026-08-18 15:44:00,телефон,i.bortnik,d.kravets,ошибка при оплате,—,консультация,n/a
T-4312,2026-08-18 15:59:00,телефон,p.kotov,d.kravets,не печатается накладная,—,консультация,n/a
T-4319,2026-08-19 11:03:00,телефон,i.bortnik,d.kravets,не печатается накладная,—,консультация,n/a
T-4320,2026-08-19 11:29:00,почта,d.kravets,i.bortnik,вопрос по возврату,—,консультация,n/a
T-4317,2026-08-19 14:40:00,чат,i.bortnik,i.bortnik,не открывается отчёт,—,консультация,n/a
T-4318,2026-08-19 17:45:00,телефон,m.zueva,d.kravets,не открывается отчёт,—,консультация,n/a
T-4323,2026-08-20 09:18:00,почта,i.bortnik,d.kravets,нужен доступ к панели,—,консультация,n/a
T-4322,2026-08-20 10:40:00,почта,s.raifa,d.kravets,вопрос по возврату,—,консультация,n/a
T-4321,2026-08-20 18:35:00,чат,p.kotov,i.bortnik,нужен доступ к панели,—,консультация,n/a
T-4325,2026-08-21 09:57:00,телефон,s.raifa,s.raifa,нужен доступ к панели,—,консультация,n/a
T-4326,2026-08-21 14:22:00,почта,i.bortnik,d.kravets,вопрос по возврату,—,консультация,n/a
T-4327,2026-08-21 16:28:00,чат,p.kotov,d.kravets,не приходит письмо,—,консультация,n/a
T-4324,2026-08-21 16:39:00,чат,d.kravets,i.bortnik,ошибка при оплате,—,консультация,n/a
T-4328,2026-08-22 09:22:00,чат,watcher,s.raifa,не приходит письмо,—,консультация,n/a
T-4329,2026-08-22 14:48:00,чат,p.kotov,i.bortnik,нужен доступ к панели,—,консультация,n/a
T-4330,2026-08-22 16:14:00,почта,a.sokolov,d.kravets,не открывается отчёт,—,консультация,n/a
T-4335,2026-08-23 13:01:00,телефон,k.efimov,d.kravets,не открывается отчёт,—,консультация,n/a
T-4332,2026-08-23 13:27:00,почта,s.raifa,i.bortnik,нужен доступ к панели,—,консультация,n/a
T-4331,2026-08-23 16:55:00,почта,i.bortnik,d.kravets,не приходит письмо,—,консультация,n/a
T-4334,2026-08-23 17:26:00,телефон,d.kravets,i.bortnik,не приходит письмо,—,консультация,n/a
T-4333,2026-08-23 19:45:00,чат,p.kotov,d.kravets,нужен доступ к панели,—,консультация,n/a
T-4337,2026-08-24 11:12:00,телефон,s.raifa,s.raifa,не печатается накладная,—,консультация,n/a
