id,login,team,hired_at
1,ivan_p,первая линия,2024-03-12
2,anna_k,первая линия,2024-06-03
3,pavel_m,первая линия,2025-01-20
4,maria_s,вторая линия,2023-11-15
5,alexey_v,вторая линия,2024-01-09
6,elena_n,первая линия,2025-02-14
7,sergey_d,эскалации,2022-08-22
8,olga_r,вторая линия,2025-03-05
9,denis_t,эскалации,2023-02-10
10,irina_b,первая линия,2024-09-18
11,nikita_g,вторая линия,2025-05-27
12,svetlana_l,эскалации,2021-12-01
13,roman_a,первая линия,2023-07-19
14,tatiana_m,вторая линия,2024-11-11
15,artem_f,эскалации,2025-07-08
16,yulia_c,первая линия,2022-04-25
17,maxim_z,вторая линия,2023-05-30
18,vera_e,эскалации,2024-02-16
19,igor_h,первая линия,2025-09-01
