id,created_at,client_id,channel,topic,priority,agent_id,first_reply_at,resolved_at,status,reopened,csat
t001032,01.03.2025 14:05,u02881,чат,оплата и документы,2,a01,2025-03-01 15:40:39,2025-03-01 19:30:47,решено,0,
t000301,2025-05-10 09:56:00,u02514,форма,техническая проблема,2,a09,2025-05-10 10:04:31,,в работе,0,
t001362,2025-06-06 07:53:00,u07865,телефон,техническая проблема,1,a12,2025-06-06 08:57:15,2025-06-06 14:30:43,решено,0,
t002504,2025-03-06 03:21:00,u06874,чат,доступ и пароли,1,a15,2025-03-06 03:33:40,,в работе,0,
t005147,2025-06-24 09:14:00,u08058,телефон,расписание и посещаемость,1,a04,2025-06-24 10:06:01,2025-06-24 12:17:32,решено,0,
t000450,14.05.2025 11:57,u05052,телефон,расписание и посещаемость,2,a16,2025-05-14 12:11:55,2025-05-14 18:22:12,решено,0,
t001562,2025-05-04 02:30:00,u00782,почта,техническая проблема,2,a15,2025-05-04 02:41:10,2025-05-04 12:00:00,решено,0,
t000103,27.02.2025 13:51,u08656,чат,оплата и документы,2,a01,2025-02-27 13:59:11,2025-02-27 14:55:08,решено,0,
t005226,2025-04-07 07:58:00,u07959,телефон,расписание и посещаемость,1,a03,2025-04-07 08:35:09,2025-04-07 19:04:57,решено,1,
t002223,04.01.2025 11:33,u02724,чат,"",3,a07,2025-01-04 12:25:59,2025-01-04 12:31:35,решено,0,
t001748,2025-01-03 09:23:00,u00252,чат,доступ и пароли,2,a10,2025-01-03 09:56:06,2025-01-03 11:17:06,решено,1,
t004519,07.05.2025 14:00,u04940,почта,расписание и посещаемость,1,a16,2025-05-07 14:48:58,2025-05-07 19:55:36,решено,1,
t002259,2025-04-03 09:12:00,u00500,почта,оплата и документы,2,a04,2025-04-03 09:19:29,2025-04-03 17:59:22,решено,0,
t000490,2025-03-19 12:52:00,u07125,почта,прочее,3,a10,2025-03-19 12:59:54,2025-03-19 16:04:09,решено,0,
t000597,2025-04-05 01:56:00,u04324,чат,оплата и документы,2,a02,2025-04-05 02:10:10,2025-04-04 02:21:12,решено,0,
t000546,24.03.2025 12:05,u02852,чат,доступ и пароли,3,a06,2025-03-24 13:35:08,2025-03-24 13:40:20,решено,0,3
t004701,2025-02-01 04:34:00,u00662,почта,доступ и пароли,2,a18,2025-02-01 04:58:33,2025-02-01 05:50:09,решено,0,4
t003540,2025-04-17 04:35:00,u08377,чат,оплата и документы,1,a02,2025-04-17 05:33:41,2025-04-17 07:39:58,решено,0,
t003610,2025-01-25 08:56:00,u08280,телефон,доступ и пароли,3,a11,2025-01-25 09:03:36,2025-01-25 09:20:48,решено,1,3
t003035,2025-01-06 05:19:00,u00563,чат,прочее,2,a11,2025-01-06 06:36:00,2025-01-06 10:11:00,решено,0,
t002472,26.02.2025 03:45,u03734,чат,расписание и посещаемость,2,a07,2025-02-26 03:55:19,2025-02-26 07:25:49,решено,0,4
t001500,2025-06-20 14:22:00,u03078,телефон,техническая проблема,2,a18,,,новое,0,
t005222,2025-05-02 08:30:00,u02521,почта,оплата и документы,1,a07,2025-05-02 09:33:18,,в работе,0,
t001703,2025-05-03 12:18:00,u07859,чат,оплата и документы,1,a07,2025-05-03 13:08:08,2025-05-03 18:30:20,решено,0,
t004254,22.03.2025 11:23,u06390,чат,оплата и документы,1,a03,2025-03-22 11:26:29,2025-03-22 13:43:00,решено,0,
t002324,22.04.2025 12:35,u04082,чат,оплата и документы,2,a08,2025-04-22 12:44:43,,в работе,0,
t002631,23.03.2025 14:18,u06446,чат,доступ и пароли,3,a10,2025-03-23 14:37:11,2025-03-23 16:31:06,решено,0,5
t001676,2025-02-22 03:42:00,u08774,чат,доступ и пароли,3,a11,2025-02-22 05:05:04,2025-02-22 05:23:22,решено,1,
t005344,19.01.2025 07:43,u03778,чат,оплата и документы,2,a06,,,новое,0,
